,package,description,category
1488,,"['go', 'shopping', 'control', 'shopping', 'expense', 'trial', 'mode', 'create', 'shopping', 'list', 'item', 'max', 'purchase', 'full', 'version', 'remove', 'restriction', 'real', 'time', 'total', 'calculation', 'voice', 'recognition', 'backup', 'restore', 'data', 'easy', 'fast', 'go', 'shopping', 'send', 'usage', 'feedback', 'improve', 'quality', 'future', 'tisoft', 'collect', 'publish', 'personal', 'information', 'speech', 'recognition', 'available', 'english', 'united', 'state', 'english', 'united', 'kingdom', 'french', 'france', 'italian', 'italy', 'german', 'germany', 'spanish', 'spain', 'chinese', 'simplified', 'china', 'chinese', 'traditional', 'hong', 'kong', 'sar', 'chinese', 'traditional', 'taiwan']",Shopping
1854,,"['shoppr', 'provides', 'fresh', 'way', 'search', 'shop', 'buy', 'product', 'walmart', 'using', 'favorite', 'window', 'device', 'see', 'sale', 'clearance', 'walmart', 'interested', 'comparison', 'shopping', 'retailer', 'shoppr', 'easily', 'cheapest', 'deal']",Shopping
1942,,"['cardparking', 'keep', 'discount', 'bonus', 'card', 'smartphone', 'add', 'card', 'cardparking', 'start', 'check-out', 'show', 'virtual', 'card', 'cashier', 'discount', 'bonus', 'virtual', 'card']",Shopping
2534,,"['developed', 'worms7', 'team', 'dressbox', 'virtual', 'closet', 'winner', 'microsoft', 'devcamp', 'beirut', 'v1.7', 'important', 'interrupt', 'first', 'run', 'update', 'dressbox', 'become', 'faster', 'lighter', 'must', 'go', 'first', 'run', 'let', 'migrate', 'interrupt', 'also', 'backup/restore', 'data', 'skydrive', 'note', 'restore', 'data', 'skydrive', 'existing', 'data', 'overwritten', 'v1.61', 'adding', 'item', 'closet', 'never', 'easier', 'introducing', 'improved', 'smart', 'tool', 'rectangular', 'crop', 'masking', 'quick', 'crop', 'eraser', 'patching', 'edit', 'item', 'already', 'closet', 'dressbox', 'social', 'ever', 'facebook', 'integration', 'twitter', 'integration', 'v1.50', 'french', 'instant', 'saving', 'outfit', 'section', 'unlimited', 'number', 'item', 'dressing', 'room', 'magazine', 'mode', 'dressing', 'room', 'double', 'tap', 'item', 'dressing', 'room', 'remove', 'dressbox', 'try', 'clothes', 'without', 'really', 'trying', 'mix', 'match', 'style', 'decide', 'wether', 'buy', 'item', 'try', 'friend', 'clothes', 'fill', 'closet', 'clothes', 'allows', 'plan', 'outfit', 'never', 'waste', 'time', 'deciding', 'wear']",Shopping
2626,,"['best', 'unofficial', 'client', 'safeway', 'u', 'coupon', 'save', 'top', 'safeway', 'club', 'card', 'price', 'add', 'digital', 'coupon', 'card', 'deal', 'promotion', 'wp', 'enable', 'add', 'just4u', 'coupon', 'card', 'safeway', 'account', 'link', 'login', 'redirecting', 'register', 'form', 'safeway', 'load', 'saving', 'go', 'u', 'digital', 'coupon', 'personalized', 'note', '3rd', 'party', 'developer', 'associated', 'originates', 'safeway']",Shopping
2690,,"['shopglider', 'lite', 'version', 'shopglider', 'popular', 'shopping', 'planning', 'window', 'phone', 'help', 'manage', 'shopping', 'list', 'recipe', 'coupon', 'online', 'go', 'access', 'share', 'friend', 'family', 'shopglider', 'major', 'shopping', 'planning', 'system', 'offer', 'window', 'phone', 'android', 'client', 'used', 'companion', '//shopglider.com', 'standalone', 'mode', 'shopglider', 'window', 'phone', 'come', 'two', 'flavor', 'ad-supported', 'shopglider', 'lite', 'paid', 'shopglider', 'ad', 'set', 'powerful', 'make', 'shopping', 'breeze', 'adding', 'item', 'grocery', 'shopping', 'list', 'go', 'adding', 'item', 'scanning', 'barcode', 'online', 'offline', 'mode', 'account', 'sharing', 'multiple', 'user', 'real-time', 'account', 'sync', 'multiple', 'phone', 'window', 'phone', 'android', 'shopglider.com', 'list', 'sharing', 'clean', 'intuitive', 'user', 'interface', 'full', 'access', 'grocery', 'shopping', 'list', 'created', 'shopglider', 'tight', 'integration', 'shopglider', 'rich', 'multiple', 'list', 'recipe', 'gallery', 'account', 'sharing', 'recipe', 'instant', 'saving', 'grocery', 'store', 'seamless', 'integration', 'allows', 'single', 'account', 'full', 'window', 'phone', 'release', 'barcode', 'scanning', 'improvement', 'performance', 'improvement', 'bug', 'fix']",Shopping
2928,,"['online', 'store', 'clothing', 'footwear', 'accessory', 'wildberries', 'leading', 'online', 'retail', 'russia', 'belarus', 'kazahstan']",Shopping
3118,,"['shopperapp', 'allows', 'view', 'item', 'different', 'store', 'social', 'network', 'vkontakte', 'search', 'product', 'store', 'seller', 'provides', 'function', 'send', 'message']",Shopping
3159,,"['hidden', 'pearl', 'mission', 'provide', 'finest', 'quality', 'modest', 'clothing', 'people', 'around', 'world', 'affordable', 'price', 'hidden', 'pearl', 'started', 'hijab', 'store', 'whose', 'primary', 'purpose', 'beginning', 'sell', 'hijab', 'online', 'soon', 'became', 'largest', 'hijab', 'shop', 'uk', 'huge', 'variety', 'stock', 'containing', 'chiffon', 'cotton', 'jersey', 'silk', 'pashmina', 'shimmer', 'hijab', 'recently', 'expanded', 'range', 'include', 'abaya', 'sport', 'wear', 'type', 'modest', 'wear', 'aim', 'create', 'standard', 'muslim', 'lifestyle', 'brand', 'measured', 'outstanding', 'customer', 'service', 'return', 'policy', 'providing', 'muslimah', 'style', 'modesty', 'today', 'tomorrow', 'forever']",Shopping
3188,,"['search', 'part', 'find', 'distributor', 'place', 'order', 'red', 'dot', 'mobile', 'easy', 'way', 'access', 'industry', 'comprehensive', 'catalog', 'hvac', 'unit', 'all-makes', 'part', 'heavy-duty', 'vehicle', 'off-highway', 'equipment', 'everyone', 'spends', 'day', 'part', 'counter', 'red', 'dot', 'mobile', 'search', 'red', 'dot', 'catalog', 'hvac', 'unit', 'component', 'part', 'service', 'equipment', 'special', 'offer', 'cross-reference', 'item', 'truck', 'make', 'model', 'cross-reference', 'red', 'dot', 'part', 'oem', 'part', 'number', 'find', 'distributor', 'zip', 'code', 'nearest', 'current', 'location', 'log', 'distributor', 'place', 'order', 'year', 'red', 'dot', 'set', 'standard', 'mobile', 'heating', 'air', 'conditioning', 'demanding', 'application', 'including', 'mining', 'agriculture', 'forestry', 'construction', 'trucking', 'download', 'red', 'dot', 'mobile', 'find', 'right', 'part', 'place', 'order', 'wherever', 'work', 'take']",Shopping
3319,,"['amazon', 'allows', 'quickly', 'make', 'purchase', 'search', 'compare', 'price', 'read', 'review', 'share', 'product', 'friend', 'using', 'simple', 'yet', 'elegant', 'interface', 'shop', 'access', 'amazon', 'site', 'around', 'world', 'single', 'simply', 'selecting', 'desired', 'amazon', 'country', 'store', 'shipping', 'destination', 'full', 'access', 'existing', 'cart', 'wish', 'list', 'search', 'product', 'using', 'amazon', 'easily', 'add', 'shopping', 'cart', 'purchase', 'note', 'us', 'amazon', 'search', 'engine', 'non-microsoft', 'commerce', 'engine', 'purchase', 'made', 'amazon', 'routed', 'secure', 'server']",Shopping
3396,,"['ikea', 'shopping', 'provides', 'easy', 'convenient', 'way', 'make', 'shopping', 'list', 'create', 'shopping', 'list', 'ready', 'home', 'time', 'turn', 'store', 'time', 'come', 'pick', 'product', 'stock', 'pick', 'application', 'order', 'show', 'shelf', 'product', 'go', 'shopping', 'list', 'era', 'go', 'ikea', 'shopping', 'list', 'application', 'note', 'first', 'glimpse', 'future', 'future', 'update', 'lot', 'shopping', 'ease', 'shopping', 'list', 'management', 'add', 'remove', 'product', 'management', 'add', 'remove', 'product', 'list', 'edit', 'product', 'send', 'shopping', 'list', 'via', 'sm', 'friend', 'etc', 'product', 'price', 'display', 'summary', 'report', 'purchase']",Shopping
3403,,"['aliexpress', 'market', 'online', 'shopping', 'marketplace', 'fingertip', 'million', 'people', 'around', 'world', 'found', 'favorite', 'item', 'u', 'perhaps', 'neighbor', 'friend', 'already', 'fallen', 'love', 'shopping', 'aliexpress']",Shopping
3417,,"['activate', 'application', 'outside', 'trading', 'location', 'visiting', 'see', 'available', 'discount', 'offer', 'add', 'trading', 'location', 'favourite', 'monitor', 'discount', 'offer', 'time', 'personal', 'data', 'collected', 'mission', 'deliver', 'real', 'monetary', 'quantifiable', 'saving', 'consumer', 'right', 'time', 'right', 'place', 'annoyance', 'consumer', 'benefit', 'entirely', 'download', 'application', 'smart', 'phone', 'consumer', 'receives', 'message', 'real', 'quantifiable', 'monetary', 'value', 'consumer', 'save', 'money', 'discount', 'locator', 'track', 'collect', 'personal', 'data', 'offer', 'add', 'right', 'time', 'place', 'receive', 'offer', 'product', 'interested', 'immediate', 'notification', 'upon', 'access', 'designated', 'location', 'remember', 'offer', 'annoying', 'message', 'without', 'value', 'consumer', 'follow', 'internet', 'link', 'detail', 'advert', 'redeem', 'voucher', 'straight', 'smart', 'phone']",Shopping
3556,,"['ilikesales', 'indispensable', 'service', 'access', 'real-time', 'best', 'deal', 'around', 'ilikesales', 'let', 'browse', 'catalogue', 'uk', 'normally', 'found', 'store', 'turn', ""'ll"", 'immediately', 'see', 'active', 'promotion', 'around', 'search', 'engine', 'find', 'shop', 'single', 'product', 'brand', 'key', 'ilikesales', 'browse', 'catalogue', 'offer', 'area', 'search', 'deal', 'search', 'box', 'map', 'map', 'discover', 'shop', 'best', 'offer', 'favourite', 'save', 'selected', 'shop', 'ilikesales', 'easily', 'consult', 'catalogue', 'sign', 'uk', 'aldi', 'lidl', 'tesco', 'costco', 'makro', 'londis', 'many']",Shopping
3671,,"['walmart', 'price', 'watch', 'help', 'create', 'maintain', 'watch', 'list', 'created', 'watch', 'job', 'created', 'notification', 'current', 'price', 'change', 'trigger', 'price', 'great', 'tool', 'catching', 'great', 'deal']",Shopping
3898,,"['standard', 'bank', 'masterpass', 'simplifies', 'way', 'shop', 'whether', 'home', 'store', 'go', 'perfect', 'combination', 'security', 'convenience', 'safely', 'storing', 'payment', 'shipping', 'information', 'consumer', 'spend', 'le', 'time', 'checking', 'time', 'enjoying', 'thing', 'love', 'mastercard-hosted', 'masterpass', 'service', 'centrally', 'hosted', 'mastercard', 'fully', 'pci-dss', 'compliant', 'allows', 'simple', 'way', 'participate', 'worldwide', 'mastercard', 'masterpass', 'acceptance', 'network', 'additional', 'advantage', 'pin', 'authenticated', 'transaction']",Shopping
4024,,"['mypasses', 'utility', 'handle', 'incoming', 'pas', 'passbook', 'file', 'file', 'used', 'movie', 'ticket', 'electronic', 'boarding', 'pass', 'loyalty', 'card', 'pas', 'opened', 'user', 'optionally', 'add', 'pas', 'wallet', 'application', 'phone', 'pass', 'stored', 'application', 'storage', 'addition', 'optional', 'wallet', 'import', 'note', 'provided', 'interoperability', '.pkpass', 'file', 'n', 'integrate', 'window', 'phone', 'wallet', 'accurately', 'reproduce', 'look', 'additional', 'update', 'functionality', 'pass', 'main', 'function', 'display', 'barcode', 'information', 'within', 'pas', 'window', 'phone', 'style', 'look', 'feel', 'sure', 'check', 'info', 'tab', 'pas', 'barcode', 'textual', 'pas', 'data', 'shown', 'retrieve', 'barcode', 'service', 'mypasses', 'requires', 'network', 'connection', 'version', 'additional', 'language', 'better', 'first', 'experience', 'sample', 'pas', 'improved', 'barcode', 'fetching', 'performance', 'server', 'v1.1', 'verified', 'work', 'lh', 'boarding', 'pas', 'updated', 'able', 'open', 'show', 'content', 'also', 'includes', 'reliable', 'barcode', 'functionality', 'stability', 'improvement', 'please', 'let', 'u', 'know', 'pass', 'work', 'material', 'test', 'twitter', 'pippuriscom']",Shopping
4249,,"['news', 'electric', 'vehicle']",Shopping
4291,,"['latest', 'technology', 'microsoft', 'azure', 'allows', 'outdoor', 'enthusiast', 'fully', 'explore', 'virtual', 'tent', 'using', 'brand', 'augmented', 'reality', 'photogrammetry', 'technology', 'comfort', 'hololens', 'customer', 'literally', 'climb', 'inside', 'virtual', 'tent', 'make', 'informed', 'buying', 'decision', 'explore', 'ass', 'choose', 'brand', 'tent', 'easily', 'navigate', 'way', 'around', 'mec', 'top', 'selling', 'tent', 'pick', 'best', 'job', 'make', 'quick', 'easy', 'decision', 'captured', 'image', 'create', 'amazing', 'tent', 'revolutionary', 'technology', 'known', 'photogrammetry', 'capture', '1,000s', 'high', 'resolution', 'image', 'hundred', 'camera', 'angle', 'build', 'super', 'high', 'quality', '3d', 'tent', 'beauty', 'behold', 'data', 'specification', 'dimension', 'geek-out', 'ream', 'data', 'ensure', 'selecting', 'best', 'tent', 'pick', 'right', 'tent', 'next', 'trip', 'comfort', 'hololens', 'microsoft', 'azure', 'platform', 'make', 'life', 'easy', 'power', 'microsoft', 'azure', 'cloud', 'platform', 'tool', 'literally', '100', '1000', 'object', 'viewed', 'fingertip', 'hololens', 'imagine', 'possibility']",Shopping
4653,,"['shopping', 'easily', 'compare', 'item', 'price/value', 'basis', 'estimate', 'final', 'price', 'considering', 'sale', 'offer', 'applied', 'discount', 'added', 'tax', 'calculate', 'price', 'per', 'unit', 'kilogram', 'gram', 'ounce', 'pound', 'liter', 'milliliter', 'fluid', 'ounce', 'per', 'item', 'buying', 'pack', 'automatically', 'convert', 'different', 'unit', 'measurement', 'compare', 'item', 'based', 'price-per-unit', 'price-per-item', 'value', 'estimate', 'much', 'save', 'buy', 'price', 'buy', 'sale', 'similar', 'subtract', 'discount', 'price-tag', 'increase', 'price', 'added', 'tax', 'value', 'tag', 'shopping', 'price', 'per', 'kg', 'g', 'oz', 'lb', 'l', 'ml', 'piece', 'calculator', 'discount', 'tax', 'sale', 'economy']",Shopping
4675,,"['calzeland.it', 'online', 'store', 'sock', 'men', 'woman', 'child', 'stocking', 'tights', 'knee-high', 'woman', 'want', 'feel', 'ease', 'every', 'occasion', 'knee-high', 'sock', 'tights', 'man', 'today', 'allows', 'view', 'purchase', 'product', 'comfort', 'phone', 'tap', 'choose', 'product', 'prefer', 'size', 'color', 'buy', 'purchase', 'made', 'paypal', 'secure', 'server', 'even', 'paypal', 'account', 'pay', 'major', 'credit', 'card', 'detail', 'credit', 'card', 'saved', 'u', 'way', 'phone', 'server', 'version', 'added', 'purchase', 'redesigned', 'interface', 'optimized', 'performance']",Shopping
5109,,"['digital', 'shopping', 'experience', 'pc', 'store', 'includes', 'digital', 'fact', 'tag', 'digital', 'price', 'tag']",Shopping
5146,,"['application', 'allows', 'browse', 'india', 'top', 'online', 'shopping', 'site', 'place.become', 'smartshopper', 'comparing', 'product', 'different', 'site', 'choose', 'best', 'offer', 'available.also', 'look', 'discount', 'coupon', 'available', 'web.so', 'wait', 'compare', 'shop']",Shopping
5587,,"['window', 'shopping', 'pocket', 'online', 'shopping', 'whole', 'lot', 'easier', 'official', 'shopclues', 'window', 'browse', 'favorite', 'product', 'widest', 'category', 'mobile', 'laptop', 'fashion', 'tv', 'lot', 'download', 'enjoy', 'instant', 'alert', 'best', 'deal', 'big', 'discount', 'exciting', 'offer', 'shopclues', 'window', 'hottest', 'deal', 'offer', 'access', 'personalized', 'exclusive', 'app-only', 'deal', 'easy', 'search', 'browse', 'search', 'product', 'category', 'brand', 'product', 'wishlist', 'add', 'product', 'favorite', 'list', 'later', 'purchase', 'easy', 'return', 'order', 'secured', 'buyer', 'protection', 'right', 'rating', 'review', 'benefit', 'review', 'rating', 'product', 'seller', 'multiple', 'payment', 'option', 'cash', 'delivery', 'credit/debit', 'card', 'emi', 'net', 'banking', 'payment', 'share', 'share', 'product', 'whatsapp', 'facebook', 'twitter', 'notification', 'instant', 'alert', 'best', 'deal', 'offer', 'coupon', 'account', 'view', 'order', 'detail', 'cluesbucks', 'address', 'book', 'profile', 'keep', 'touch', 'issue', 'idea', 'suggestion', 'u', 'shopclues.com', 'download', 'start', 'experiencing', 'shopclues']",Shopping
5656,,"['card', 'card', 'ever', 'loyalty', 'card', 'coupon', 'thing', 'else', 'card', 'card', 'place']",Shopping
5682,,"['take', 'hobby', 'lobby', 'wherever', 'go', 'download', 'window', 'phone', 'latest', 'coupon', 'see', 'weekly', 'saving', 'locate', 'store', 'near', 'check', 'gift', 'card', 'balance', 'much', 'weekly', 'saving', 'convenience', 'come', 'love', 'tap', 'away', 'art', 'craft', 'store', 'item', 'explore', 'including', 'home', 'accent', 'craft', 'hobby', 'picture', 'framing', 'jewelry', 'making', 'fashion', 'fabric', 'floral', 'card', 'party', 'basket', 'wearable', 'art', 'holiday', 'supply', 'hobby', 'lobby', 'place', 'shop', 'super', 'saving', 'super', 'selection', 'every', 'day', 'coupon', 'hobby', 'lobby', 'coupon', 'come', 'love', 'tap', 'away', 'store', 'online', 'weekly', 'saving', 'project', 'mind', 'simply', 'inspiration', 'hobby', 'lobby', 'offer', 'customer', 'exceptional', 'selection', 'value', 'week', 'tap', 'view', 'weekly', 'ad', 'sure', 'find', 'store', 'locator', 'tap', 'find', 'closest', 'hobby', 'lobby', 'store', 'provides', 'enjoyable', 'enriched', 'shopping', 'experience', 'providing', 'exceptional', 'value', 'widest', 'variety', 'home', 'décor', 'merchandise', 'crafting', 'supply', 'roof', 'gift', 'card', 'receive', 'gift', 'card', 'check', 'balance', 'tap', 'check', 'balance', 'plan', 'next', 'shopping', 'experience', 'hobby', 'lobby', 'feedback', 'tell', 'u', 'much', 'love', 'hobby', 'lobby', 'make', 'sure', 'tell', 'friend', 'family', 'download']",Shopping
5881,,"['lingerie', 'center', 'largest', 'american', 'retailer', 'lingerie', 'bra', 'underwear', 'pajama', 'thong', 'sleepwear', 'g-string']",Shopping
5883,,"['electronics', 'center', 'let', 'search', 'increase', 'existing', 'bid', 'watch', 'item', 'world', 'largest', 'online', 'marketplace', 'ebay.com', 'amazon.com', 'shop', 'home', 'entertainment', 'tv', 'home', 'audio', 'headphone', 'camera', 'accessory', 'electronics', 'center', 'window', 'allows', 'tap', 'world', 'largest', 'online', 'marketplace', 'ebay', 'amazon', 'built', 'upon', 'simple', 'intuitive', 'design', ""'ll"", 'quickly', 'navigate', 'whatever', ""'re"", 'search', 'enjoy', 'experience', 'please', 'let', 'u', 'know', 'thought']",Shopping
5969,,"['moby', 'echarge', 'offer', 'wide', 'range', 'recharge', 'service', 'prepaid', 'mobile', 'phone', 'dth', 'data', 'card', 'service', 'india', 'pay', 'postpaid', 'landline', 'utility', 'bill', 'mobyecharge', 'enjoy', 'uninterrupted', 'service', 'online', 'recharge', 'faster', 'secure', 'easier', 'click', 'away', 'offer', 'mobile', 'recharges', 'indian', 'telco', 'airtel', 'vodafone', 'reliance', 'idea', 'aircel', 'mtnl', 'tata', 'uninor', 'mobile', 'bill', 'payment', 'airtel', 'mtnl', 'vodfone', 'reliance', 'idea', 'loop', 'mobile', 'bsnl', 'landline', 'bill', 'payment', 'airtel', 'landline', 'bsnl', 'mtnl', 'dth', 'recharges', 'airtel', 'dth', 'videocon', 'd2h', 'dish', 'tv', 'tata', 'sky', 'reliance', 'big', 'tv', 'data', 'card', 'recharges', 'aircel', 'bsnl', 'reliance', 'net', 'connect', 'tata', 'photon', 'plus', 'mt', 'data', 'card', 'mtnl', '24x7', 'customer', 'care', 'download', 'keep', 'prepaid', 'mobile', 'phone', 'recharged', 'non-stop', 'dth', 'television']",Shopping
6064,,"['writing', 'shopping', 'list', 'never', 'easier', 'memo', 'course', 'make', 'shopping', 'list', 'usual', 'store', 'create', 'shopping', 'list', 'store', 'choose', 'item', 'buy', 'choice', 'predefined', 'product', 'organized', 'category', 'ca', 'find', 'item', ""'re"", 'looking', 'create', 'click', 'also', 'create', 'list', 'favorite', 'choose', 'list', 'item', 'shopping', 'list', 'favorite', 'find', 'item', 'faster', 'create', 'list', 'product', 'buy', 'clutter', 'favorite', 'list', 'decide', 'category', 'part', 'list', 'sort', 'category', 'shopping', 'list', 'validation', 'purchase', 'order', 'shelf', 'store', 'corresponding', 'shopping', 'list', 'category', 'suit', 'edit', 'delete', 'create', 'purchased', 'item', 'check', 'removed', 'list', 'put', 'shopping', 'cart', 'shopping', 'empty', 'shopping', 'cart', 'ready', 'put', 'item', 'list', 'feel', 'evaluate', 'application', 'available', 'pc', 'comment', 'improve']",Shopping
6293,,"['discover', 'samsung', 'tv', 'best', 'interactive', 'let', 'explore', 'line', 'samsung', 'tv', 'designed', 'enhance', 'fit', 'life', 'answer', 'quick', 'question', 'lifestyle', 'preference', 'need', 'samsung', 'tv', 'discovery', 'tool', 'serf', 'tv', 'audio', 'visual', 'recommendation', 'recommendation', 'customized', 'provide', 'best', 'samsung', 'home', 'entertainment', 'experience', 'possible', 'download', 'samsung', 'tv', 'discovery', 'tool', 'today', 'meet', 'future', 'tv']",Shopping
6647,,"['wallet', 'bursting', 'loyalty', 'card', 'given', 'every', 'place', 'shop', 'full', 'ticket', 'every', 'place', 'go', 'phone', 'packed', 'vendor', 'take', 'loyalty', 'card', 'club', 'card', 'ticket', 'wherever', 'go', 'across', 'device', 'place', 'never', 'worry', 'whether', 'hand', 'upload', 'card', 'online', ""'re"", 'ready', 'go', 'pocket', 'card', 'wallet', 'card', 'ticketing', 'work', 'across', 'device', 'worry', 'losing', 'card', 'information', 'pocket', 'card', 'wallet', 'work', 'across', 'device', 'location', 'network', 'connection', 'open', 'card', 'ticket', 'offline', 'first', 'card', 'slot', 'completely', 'add', 'remove', 'add', 'much', 'slot', 'purchased', 'share', 'account', 'loved', 'one', 'card', 'another', 'sharing', 'account', 'mean', 'reward', 'point', 'vendor', 'way', 'additional', 'slot', 'pocket', 'card', 'wallet', 'quickly', 'pay', 'thank', 'download', ""'re"", 'giving', 'everyone', 'downloads', 'pcw', 'two', 'additional', 'card', 'slot', 'qualify', 'promotion', 'simply', 'tweet', 'wotiso', 'tweeting']",Shopping
